confusion_pair,delta_vs_baseline,metric,source_id,source_type,target_id,value
lichen planus->ack,,top1_delta_vs_baseline,eval_brief_20260328T103459Z,result_manifest,full_dermagent,
lichen planus->ack,,error_rate_delta_vs_baseline,eval_brief_20260328T103459Z,result_manifest,full_dermagent,
lichen simplex chronicus->ack,,top1,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0
lichen simplex chronicus->ack,,topk,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0
lichen simplex chronicus->ack,,malignant_recall,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0
lichen simplex chronicus->ack,,error_rate,eval_brief_20260328T103459Z,result_manifest,full_dermagent,1.0
lichen simplex chronicus->ack,,top1_delta_vs_baseline,eval_brief_20260328T103459Z,result_manifest,full_dermagent,
lichen simplex chronicus->ack,,error_rate_delta_vs_baseline,eval_brief_20260328T103459Z,result_manifest,full_dermagent,
malignant melanoma->bcc,,top1,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0
malignant melanoma->bcc,,topk,eval_brief_20260328T103459Z,result_manifest,full_dermagent,1.0
malignant melanoma->bcc,,malignant_recall,eval_brief_20260328T103459Z,result_manifest,full_dermagent,1.0
malignant melanoma->bcc,,error_rate,eval_brief_20260328T103459Z,result_manifest,full_dermagent,1.0
malignant melanoma->bcc,,top1_delta_vs_baseline,eval_brief_20260328T103459Z,result_manifest,full_dermagent,
malignant melanoma->bcc,,error_rate_delta_vs_baseline,eval_brief_20260328T103459Z,result_manifest,full_dermagent,
malignant melanoma->scc,,top1,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0
malignant melanoma->scc,,topk,eval_brief_20260328T103459Z,result_manifest,full_dermagent,1.0
malignant melanoma->scc,,malignant_recall,eval_brief_20260328T103459Z,result_manifest,full_dermagent,1.0
malignant melanoma->scc,,error_rate,eval_brief_20260328T103459Z,result_manifest,full_dermagent,1.0
malignant melanoma->scc,,top1_delta_vs_baseline,eval_brief_20260328T103459Z,result_manifest,full_dermagent,
malignant melanoma->scc,,error_rate_delta_vs_baseline,eval_brief_20260328T103459Z,result_manifest,full_dermagent,
