cluster_key,delta_vs_baseline,failure_type,metric,source_id,value
contradiction_heavy_case|no_confusion|SEK,,contradiction_heavy_case,count,hard_case_mining,3
contradiction_heavy_case|no_confusion|SEK,,contradiction_heavy_case,average_importance,hard_case_mining,4.5
high_uncertainty_case|no_confusion|ACK,,high_uncertainty_case,count,hard_case_mining,1
high_uncertainty_case|no_confusion|ACK,,high_uncertainty_case,average_importance,hard_case_mining,4.5
high_uncertainty_case|no_confusion|BCC,,high_uncertainty_case,count,hard_case_mining,7
high_uncertainty_case|no_confusion|BCC,,high_uncertainty_case,average_importance,hard_case_mining,6.5
high_uncertainty_case|no_confusion|MEL,,high_uncertainty_case,count,hard_case_mining,3
high_uncertainty_case|no_confusion|MEL,,high_uncertainty_case,average_importance,hard_case_mining,6.0
high_uncertainty_case|no_confusion|NEV,,high_uncertainty_case,count,hard_case_mining,1
high_uncertainty_case|no_confusion|NEV,,high_uncertainty_case,average_importance,hard_case_mining,4.5
high_uncertainty_case|no_confusion|SCC,,high_uncertainty_case,count,hard_case_mining,6
high_uncertainty_case|no_confusion|SCC,,high_uncertainty_case,average_importance,hard_case_mining,6.33
shared_failure|Actinic Keratosis->BCC|BCC,,shared_failure,count,hard_case_mining,1
shared_failure|Actinic Keratosis->BCC|BCC,,shared_failure,average_importance,hard_case_mining,8.0
shared_failure|Contact dermatitis->ACK|ACK,,shared_failure,count,hard_case_mining,1
shared_failure|Contact dermatitis->ACK|ACK,,shared_failure,average_importance,hard_case_mining,7.5
shared_failure|Plantar wart->SCC|SCC,,shared_failure,count,hard_case_mining,1
shared_failure|Plantar wart->SCC|SCC,,shared_failure,average_importance,hard_case_mining,7.5
shared_failure|Squamous Cell Carcinoma->BCC|BCC,,shared_failure,count,hard_case_mining,1
shared_failure|Squamous Cell Carcinoma->BCC|BCC,,shared_failure,average_importance,hard_case_mining,8.0
